step,train_loss,train_acc,val_loss,val_acc,lr,grad_norm
25,8.509464,0.070550,,,1.44e-05,2.5605
25,8.512959,0.069700,,,1.44e-05,2.4696
50,7.948975,0.071873,,,2.94e-05,2.2381
75,7.491708,0.078868,,,4.44e-05,2.1956
100,7.007910,0.064519,,,5.94e-05,1.7829
125,6.445039,0.069584,,,7.44e-05,1.3966
150,6.200417,0.068906,,,8.94e-05,0.6382
175,5.939421,0.066088,,,1.04e-04,0.4395
200,6.008534,0.069596,,,1.19e-04,0.4742
225,5.989759,0.064234,,,1.34e-04,0.3883
250,5.952669,0.070258,,,1.49e-04,0.4067
275,6.010049,0.069646,,,1.64e-04,0.4462
300,5.986436,0.071642,,,1.79e-04,0.3950
325,6.046480,0.065510,,,1.94e-04,0.3879
350,5.935962,0.069493,,,2.09e-04,0.4238
375,5.897057,0.077225,,,2.24e-04,0.6421
400,5.914914,0.082428,,,2.39e-04,0.6211
425,5.750721,0.096852,,,2.54e-04,0.4807
450,5.880784,0.089616,,,2.69e-04,0.5698
475,5.829524,0.088509,,,2.84e-04,0.3864
500,5.678346,0.099711,5.711775,0.097898,2.99e-04,0.6240
525,5.773903,0.096782,,,3.00e-04,0.4774
550,5.655235,0.097640,,,3.00e-04,0.4750
575,5.718658,0.096469,,,3.00e-04,0.5386
600,5.674410,0.096160,,,3.00e-04,0.6278
625,5.654880,0.090922,,,3.00e-04,0.5387
650,5.585778,0.109214,,,3.00e-04,0.6968
675,5.656573,0.097083,,,3.00e-04,0.7206
700,5.559203,0.108172,,,3.00e-04,0.5332
725,5.616690,0.098773,,,3.00e-04,0.8437
750,5.614162,0.104590,,,3.00e-04,0.6239
775,5.568110,0.094945,,,3.00e-04,0.6091
800,5.590971,0.107582,,,3.00e-04,1.0901
825,5.643764,0.098648,,,3.00e-04,0.8164
850,5.640611,0.094108,,,2.99e-04,0.7596
875,5.526302,0.102970,,,2.99e-04,0.6360
900,5.484479,0.112062,,,2.99e-04,0.5505
925,5.666285,0.096903,,,2.99e-04,0.5854
950,5.542363,0.106355,,,2.99e-04,0.6494
975,5.484908,0.105036,,,2.99e-04,0.5383
1000,5.601040,0.096579,5.512346,0.109278,2.99e-04,0.5725
1025,5.481973,0.108951,,,2.99e-04,0.5813
1050,5.475428,0.102927,,,2.99e-04,0.8293
1075,5.506534,0.106072,,,2.98e-04,0.7159
1100,5.566596,0.108105,,,2.98e-04,0.5704
1125,5.651936,0.100560,,,2.98e-04,0.5605
1150,5.552006,0.098132,,,2.98e-04,1.0113
1175,5.529995,0.109623,,,2.98e-04,0.5435
1200,5.419835,0.104288,,,2.98e-04,0.6831
1225,5.575222,0.098978,,,2.98e-04,0.6306
1250,5.509846,0.102449,,,2.97e-04,0.6326
1275,5.358354,0.114557,,,2.97e-04,0.7240
1300,5.491675,0.111688,,,2.97e-04,0.6108
1325,5.484211,0.104564,,,2.97e-04,0.5970
1350,5.508404,0.108841,,,2.97e-04,0.6694
1375,5.465219,0.107709,,,2.96e-04,0.6665
1400,5.467333,0.107190,,,2.96e-04,0.6727
1425,5.484242,0.103351,,,2.96e-04,0.7419
1450,5.505735,0.099469,,,2.96e-04,0.5831
1475,5.392898,0.115179,,,2.96e-04,0.6673
1500,5.526304,0.107310,5.458649,0.110724,2.95e-04,0.7500
1525,5.527873,0.101697,,,2.95e-04,0.5346
1550,5.490998,0.108561,,,2.95e-04,0.7072
1575,5.478050,0.104747,,,2.95e-04,0.7976
1600,5.341426,0.120652,,,2.94e-04,0.6966
1625,5.393581,0.111438,,,2.94e-04,0.6656
1650,5.486256,0.110205,,,2.94e-04,0.5415
1675,5.401352,0.109186,,,2.94e-04,0.6391
1700,5.405374,0.116320,,,2.93e-04,0.7051
1725,5.411327,0.109932,,,2.93e-04,0.6090
1750,5.445880,0.106741,,,2.93e-04,0.5152
1775,5.405710,0.110813,,,2.93e-04,0.6943
1800,5.404928,0.113649,,,2.92e-04,0.6790
1825,5.401070,0.109157,,,2.92e-04,0.8890
1850,5.412452,0.110527,,,2.92e-04,0.8116
1875,5.408898,0.106664,,,2.91e-04,0.6758
1900,5.445139,0.108653,,,2.91e-04,0.5818
1925,5.408898,0.115139,,,2.91e-04,0.9225
1950,5.417236,0.115064,,,2.90e-04,0.7021
1975,5.411860,0.112013,,,2.90e-04,0.7288
2000,5.296952,0.113806,5.375874,0.114628,2.90e-04,0.7433
2025,5.479386,0.104797,,,2.89e-04,0.7505
2050,5.422278,0.109819,,,2.89e-04,0.6158
2075,5.338652,0.116293,,,2.89e-04,0.7484
2100,5.396355,0.122378,,,2.88e-04,0.7734
2125,5.400130,0.109792,,,2.88e-04,0.8521
2150,5.441053,0.108139,,,2.88e-04,0.6921
2175,5.230247,0.128136,,,2.87e-04,0.7219
2200,5.342738,0.110208,,,2.87e-04,0.8000
2225,5.353872,0.115655,,,2.86e-04,0.7332
2250,5.490935,0.106685,,,2.86e-04,0.5905
2275,5.331390,0.109851,,,2.86e-04,0.6537
2300,5.331517,0.107731,,,2.85e-04,0.6459
2325,5.394883,0.115476,,,2.85e-04,0.8397
2350,5.425677,0.110251,,,2.84e-04,0.5709
2375,5.437069,0.110287,,,2.84e-04,0.8355
2400,5.269623,0.120298,,,2.84e-04,0.8169
2425,5.307850,0.121816,,,2.83e-04,0.8610
2450,5.289699,0.130493,,,2.83e-04,0.7296
2475,5.292520,0.116748,,,2.82e-04,0.6842
2500,5.373040,0.118638,5.234172,0.125526,2.82e-04,0.6861
2525,5.348686,0.110221,,,2.81e-04,0.6370
2550,5.397775,0.109005,,,2.81e-04,0.8735
2575,5.283933,0.127860,,,2.81e-04,0.7852
2600,5.252567,0.122377,,,2.80e-04,0.9439
2625,5.413889,0.116840,,,2.80e-04,0.8874
2650,5.187439,0.143340,,,2.79e-04,0.9630
2675,5.229314,0.133909,,,2.79e-04,1.1104
2700,5.059220,0.145757,,,2.78e-04,1.0557
2725,5.221421,0.138372,,,2.78e-04,0.9793
2750,5.135876,0.150730,,,2.77e-04,0.9775
2775,5.108296,0.146830,,,2.77e-04,0.9631
2800,4.993330,0.168287,,,2.76e-04,1.0379
2825,5.116310,0.150435,,,2.76e-04,1.0301
2850,5.055303,0.151618,,,2.75e-04,1.1714
2875,5.024524,0.169620,,,2.75e-04,1.0431
2900,4.920618,0.171443,,,2.74e-04,1.3607
2925,4.956166,0.168127,,,2.74e-04,1.4218
2950,4.960011,0.173499,,,2.73e-04,1.2074
2975,4.828144,0.179843,,,2.73e-04,1.4745
3000,4.775069,0.189610,4.763675,0.194411,2.72e-04,1.2053
3025,4.860698,0.181640,,,2.72e-04,1.3684
3050,4.806522,0.190794,,,2.71e-04,1.3041
3075,4.704589,0.205636,,,2.70e-04,1.3701
3100,4.776039,0.189194,,,2.70e-04,1.6485
3125,4.504874,0.220830,,,2.69e-04,1.2813
3150,4.670689,0.208529,,,2.69e-04,1.5233
3175,4.666580,0.204063,,,2.68e-04,1.2032
3200,4.621717,0.214184,,,2.68e-04,1.8175
3225,4.368049,0.235452,,,2.67e-04,1.5852
3250,4.575239,0.224664,,,2.67e-04,1.3720
3275,4.604221,0.225033,,,2.66e-04,1.4258
3300,4.378519,0.241398,,,2.65e-04,1.4497
3325,4.409900,0.236256,,,2.65e-04,1.3582
3350,4.326114,0.237344,,,2.64e-04,1.3541
3375,4.542256,0.225908,,,2.64e-04,1.2777
3400,4.594785,0.229025,,,2.63e-04,1.4196
3425,4.310196,0.250062,,,2.62e-04,1.2551
3450,4.206629,0.266722,,,2.62e-04,1.5645
3475,4.313729,0.253651,,,2.61e-04,1.4664
3500,4.355255,0.254619,4.200867,0.266400,2.60e-04,1.2952
3525,4.531108,0.226846,,,2.60e-04,1.2624
3550,4.688644,0.206601,,,2.59e-04,1.2056
3575,4.288759,0.264490,,,2.59e-04,1.2156
3600,4.709045,0.207043,,,2.58e-04,1.6775
3625,4.642443,0.218983,,,2.57e-04,1.4153
3650,4.348300,0.247280,,,2.57e-04,1.3448
3675,4.118096,0.282687,,,2.56e-04,1.4089
3700,4.057596,0.275216,,,2.55e-04,1.5428
3725,4.075179,0.279117,,,2.55e-04,1.4095
3750,4.051291,0.289725,,,2.54e-04,1.5619
3775,4.432872,0.236225,,,2.53e-04,1.1821
3800,4.505163,0.231829,,,2.53e-04,1.2611
3825,4.052026,0.277217,,,2.52e-04,1.3843
3850,4.128171,0.279307,,,2.51e-04,1.6677
3875,4.188622,0.267857,,,2.51e-04,1.4509
3900,4.220428,0.276547,,,2.50e-04,1.4287
3925,3.916091,0.294449,,,2.49e-04,1.2776
3950,4.328259,0.250523,,,2.49e-04,1.2149
3975,4.249751,0.261181,,,2.48e-04,1.1723
4000,4.266234,0.261262,3.962963,0.297617,2.47e-04,1.4125
4025,4.345910,0.254566,,,2.47e-04,1.3469
4050,4.364475,0.244796,,,2.46e-04,1.1235
4075,4.023802,0.293145,,,2.45e-04,1.2867
4100,4.152889,0.263291,,,2.44e-04,1.2750
4125,4.324828,0.247977,,,2.44e-04,1.3589
4150,3.868705,0.305644,,,2.43e-04,1.2945
4175,4.068485,0.284498,,,2.42e-04,1.2577
4200,3.857744,0.310171,,,2.41e-04,1.4822
4225,3.962904,0.290568,,,2.41e-04,1.2439
4250,4.172822,0.273794,,,2.40e-04,1.1806
4275,3.993963,0.298740,,,2.39e-04,1.3732
4300,4.194160,0.268002,,,2.39e-04,1.1832
4325,3.961365,0.293376,,,2.38e-04,1.1502
4350,3.737659,0.323331,,,2.37e-04,1.2851
4375,4.127795,0.265571,,,2.36e-04,1.1587
4400,4.079411,0.273793,,,2.36e-04,1.2611
4425,4.101465,0.272873,,,2.35e-04,1.7552
4450,4.028446,0.286581,,,2.34e-04,1.1332
4475,4.133089,0.272507,,,2.33e-04,1.0902
4500,4.329424,0.250520,3.833968,0.312687,2.33e-04,1.5317
4525,3.820058,0.310421,,,2.32e-04,1.3540
4550,4.085776,0.296562,,,2.31e-04,1.1769
4575,4.316804,0.248284,,,2.30e-04,1.3440
4600,4.099019,0.268851,,,2.29e-04,1.1634
4625,3.957311,0.287735,,,2.29e-04,1.3203
4650,3.944500,0.286128,,,2.28e-04,1.1999
4675,4.041670,0.285523,,,2.27e-04,1.3561
4700,3.869606,0.298495,,,2.26e-04,1.2921
4725,3.751344,0.315373,,,2.26e-04,1.3423
4750,3.833283,0.301211,,,2.25e-04,1.3276
4775,3.893195,0.313526,,,2.24e-04,1.1559
4800,3.914050,0.297677,,,2.23e-04,1.4356
4825,3.772288,0.304068,,,2.22e-04,1.5355
4850,3.904929,0.308713,,,2.22e-04,1.1816
4875,3.846050,0.308266,,,2.21e-04,1.4994
4900,3.919299,0.304607,,,2.20e-04,1.2837
4925,3.930682,0.304379,,,2.19e-04,1.3129
4950,3.795415,0.312478,,,2.18e-04,1.4073
4975,3.663555,0.333799,,,2.18e-04,1.3208
5000,3.694645,0.331942,3.696984,0.330930,2.17e-04,1.3910
5025,3.790294,0.309370,,,2.16e-04,1.3765
5050,3.571432,0.341143,,,2.15e-04,1.3918
5075,3.805317,0.319076,,,2.14e-04,1.5461
5100,3.809433,0.309426,,,2.13e-04,1.3859
5125,3.846055,0.307992,,,2.13e-04,1.2333
5150,4.160800,0.277626,,,2.12e-04,1.1362
5175,3.829548,0.314451,,,2.11e-04,1.3855
5200,3.838946,0.314052,,,2.10e-04,1.2647
5225,3.734390,0.313845,,,2.09e-04,1.2481
5250,3.849038,0.314029,,,2.08e-04,1.4023
5275,3.885655,0.300481,,,2.08e-04,1.2492
5300,3.688513,0.326482,,,2.07e-04,1.3329
5325,3.985548,0.300854,,,2.06e-04,1.2015
5350,3.883091,0.302162,,,2.05e-04,1.1887
5375,3.691704,0.323492,,,2.04e-04,1.2545
5400,3.582908,0.343562,,,2.03e-04,1.5728
5425,3.468756,0.353830,,,2.03e-04,1.4739
5450,3.799488,0.308209,,,2.02e-04,1.4386
5475,3.901539,0.304086,,,2.01e-04,1.2531
5500,3.849530,0.314030,3.609331,0.342430,2.00e-04,1.3915
5525,3.452069,0.357336,,,1.99e-04,1.3495
5550,3.857463,0.309078,,,1.98e-04,1.3309
5575,3.500276,0.353675,,,1.97e-04,1.2335
5600,3.536669,0.334205,,,1.97e-04,1.3222
5625,3.904337,0.295843,,,1.96e-04,1.2921
5650,3.688816,0.329671,,,1.95e-04,1.3088
5675,3.658205,0.334776,,,1.94e-04,1.4520
5700,3.777818,0.319914,,,1.93e-04,1.2501
5725,3.939924,0.296897,,,1.92e-04,1.2889
5750,3.644295,0.337761,,,1.91e-04,1.6058
5775,3.735961,0.315165,,,1.91e-04,1.3338
5800,3.443044,0.360493,,,1.90e-04,1.6069
5825,3.671273,0.329766,,,1.89e-04,1.3072
5850,3.607377,0.334682,,,1.88e-04,1.4045
5875,3.710987,0.326233,,,1.87e-04,1.4320
5900,3.912216,0.291697,,,1.86e-04,1.4209
5925,4.097276,0.277314,,,1.85e-04,1.3826
5950,3.949226,0.289448,,,1.84e-04,1.4669
5975,3.597246,0.345611,,,1.84e-04,1.4217
6000,3.639660,0.334002,3.532604,0.350148,1.83e-04,1.5877
6025,3.670058,0.334882,,,1.82e-04,1.6623
6050,3.358501,0.356506,,,1.81e-04,1.5096
6075,3.710811,0.342367,,,1.80e-04,1.5149
6100,3.769977,0.317840,,,1.79e-04,1.3737
6125,3.702855,0.327263,,,1.78e-04,1.3919
6150,3.752782,0.315988,,,1.77e-04,1.3102
6175,3.591774,0.331829,,,1.77e-04,1.5796
6200,3.828591,0.310857,,,1.76e-04,1.3540
6225,3.791481,0.316211,,,1.75e-04,1.2600
6250,3.326809,0.383255,,,1.74e-04,1.2566
6275,3.549009,0.348833,,,1.73e-04,1.4880
6300,3.762213,0.325125,,,1.72e-04,1.1452
6325,3.747358,0.317702,,,1.71e-04,1.3984
6350,3.831562,0.305414,,,1.70e-04,1.5326
6375,3.739544,0.314536,,,1.69e-04,1.3135
6400,3.566875,0.344775,,,1.69e-04,1.5056
6425,3.518210,0.356281,,,1.68e-04,1.4283
6450,3.685074,0.333080,,,1.67e-04,1.4226
6475,3.741122,0.330692,,,1.66e-04,1.1437
6500,3.374081,0.372256,3.398707,0.369261,1.65e-04,1.4737
6525,3.743683,0.311834,,,1.64e-04,1.4508
6550,3.577850,0.349031,,,1.63e-04,1.2939
6575,3.696565,0.329182,,,1.62e-04,1.3449
6600,3.412504,0.365111,,,1.62e-04,1.3956
6625,3.719069,0.325910,,,1.61e-04,1.2570
6650,3.571177,0.339616,,,1.60e-04,1.4250
6675,3.623995,0.337030,,,1.59e-04,1.4971
6700,3.482428,0.358789,,,1.58e-04,1.3558
6725,3.162642,0.396299,,,1.57e-04,1.4254
6750,3.566849,0.340603,,,1.56e-04,1.3487
6775,3.607444,0.336628,,,1.55e-04,1.4728
6800,3.534894,0.347823,,,1.54e-04,1.3361
6825,3.880084,0.292336,,,1.54e-04,1.3259
6850,3.569323,0.340231,,,1.53e-04,1.4066
6875,3.472478,0.358696,,,1.52e-04,1.4661
6900,3.498951,0.348380,,,1.51e-04,1.3507
6925,3.572264,0.351177,,,1.50e-04,1.4846
6950,3.619882,0.337533,,,1.49e-04,1.2665
6975,3.757516,0.322630,,,1.48e-04,1.3489
7000,3.474753,0.351713,3.409057,0.367255,1.47e-04,1.3659
7025,3.492952,0.354022,,,1.47e-04,1.6677
7050,3.828032,0.320267,,,1.46e-04,1.4988
7075,3.813867,0.307092,,,1.45e-04,1.5526
7100,3.392658,0.365324,,,1.44e-04,1.4930
7125,3.609473,0.328917,,,1.43e-04,1.5589
7150,3.418563,0.358932,,,1.42e-04,1.4036
7175,3.668782,0.323507,,,1.41e-04,1.3303
7200,3.593383,0.343335,,,1.40e-04,1.4158
7225,3.634464,0.341184,,,1.40e-04,1.2985
7250,3.155450,0.392163,,,1.39e-04,1.5992
7275,3.461774,0.354097,,,1.38e-04,1.2389
7300,3.807024,0.308230,,,1.37e-04,1.2908
7325,3.319342,0.376918,,,1.36e-04,1.3462
7350,3.719268,0.326692,,,1.35e-04,1.4506
7375,3.500296,0.363412,,,1.34e-04,1.2849
7400,3.489615,0.361561,,,1.34e-04,1.4742
7425,3.733448,0.316391,,,1.33e-04,1.3974
7450,3.474005,0.355172,,,1.32e-04,1.5139
7475,3.277635,0.374915,,,1.31e-04,1.6067
7500,3.589501,0.333846,3.402237,0.368391,1.30e-04,1.4987
7525,3.857522,0.309276,,,1.29e-04,1.3402
7550,3.548337,0.341457,,,1.28e-04,1.3008
7575,3.644353,0.338369,,,1.28e-04,1.9561
7600,3.759761,0.323382,,,1.27e-04,1.3070
7625,3.410819,0.359099,,,1.26e-04,1.4851
7650,3.608889,0.339659,,,1.25e-04,1.4147
7675,3.665415,0.332412,,,1.24e-04,1.3679
7700,3.717902,0.328906,,,1.23e-04,1.5057
7725,3.466329,0.355530,,,1.22e-04,1.7245
7750,3.483063,0.355452,,,1.22e-04,1.2800
7775,3.508834,0.355641,,,1.21e-04,1.3151
7800,3.854586,0.303489,,,1.20e-04,1.3064
7825,3.483484,0.358908,,,1.19e-04,1.4308
7850,3.483643,0.342509,,,1.18e-04,1.3824
7875,3.880801,0.300584,,,1.17e-04,1.4644
7900,3.439869,0.367521,,,1.17e-04,1.3963
7925,3.539038,0.347423,,,1.16e-04,1.5893
7950,3.532856,0.363890,,,1.15e-04,1.3244
7975,3.438614,0.360137,,,1.14e-04,1.3614
8000,3.626976,0.334630,3.282450,0.380924,1.13e-04,1.3752
8025,3.551848,0.338084,,,1.13e-04,1.4808
8050,3.020503,0.410863,,,1.12e-04,1.5796
8075,3.561715,0.335277,,,1.11e-04,1.4387
8100,3.681552,0.334207,,,1.10e-04,1.7017
8125,2.753540,0.465188,,,1.09e-04,1.5617
8150,3.655316,0.333215,,,1.09e-04,1.4076
8175,3.531483,0.340740,,,1.08e-04,1.3418
8200,3.338446,0.368782,,,1.07e-04,1.7498
8225,3.587366,0.341348,,,1.06e-04,1.5053
8250,3.497469,0.352225,,,1.05e-04,1.2457
8275,3.681059,0.333973,,,1.05e-04,1.5686
8300,3.495722,0.357344,,,1.04e-04,1.2853
8325,3.973775,0.290072,,,1.03e-04,1.2570
8350,3.524610,0.350154,,,1.02e-04,1.4273
8375,3.440300,0.355808,,,1.01e-04,1.3975
8400,3.456297,0.373718,,,1.01e-04,1.7430
8425,3.198024,0.396854,,,9.98e-05,1.4750
8450,3.301492,0.378288,,,9.91e-05,1.7015
8475,3.505152,0.367348,,,9.83e-05,1.5211
8500,3.787514,0.313639,3.297045,0.383520,9.75e-05,1.1600
8525,3.304699,0.372689,,,9.68e-05,1.5851
8550,3.582685,0.336523,,,9.60e-05,1.4968
8575,3.627280,0.325297,,,9.52e-05,1.6073
8600,3.283228,0.375842,,,9.45e-05,1.4509
8625,3.298983,0.375261,,,9.37e-05,1.4603
8650,3.221014,0.381547,,,9.30e-05,1.4780
8675,3.205054,0.383924,,,9.22e-05,1.7929
8700,3.576362,0.343275,,,9.15e-05,1.4602
8725,3.381394,0.370912,,,9.08e-05,1.4336
8750,3.125178,0.410132,,,9.00e-05,1.3709
8775,3.482319,0.360724,,,8.93e-05,1.4161
8800,3.617728,0.336474,,,8.86e-05,1.4259
8825,3.596460,0.340263,,,8.78e-05,1.4387
8850,3.301856,0.369543,,,8.71e-05,1.4582
8875,3.563721,0.345044,,,8.64e-05,1.6511
8900,3.295668,0.373343,,,8.57e-05,1.3288
8925,3.283091,0.384967,,,8.50e-05,1.8007
8950,3.634498,0.341304,,,8.43e-05,1.3778
8975,3.620406,0.337166,,,8.35e-05,1.5345
9000,3.529303,0.348498,3.281045,0.384936,8.28e-05,1.3805
9025,3.622630,0.335056,,,8.21e-05,1.7301
9050,3.181688,0.402213,,,8.15e-05,1.4559
9075,3.377116,0.366074,,,8.08e-05,1.3613
9100,3.578875,0.353622,,,8.01e-05,1.9402
9125,3.889766,0.308962,,,7.94e-05,1.5407
9150,3.519929,0.340571,,,7.87e-05,1.4391
9175,3.539246,0.354135,,,7.80e-05,1.6437
9200,3.130397,0.399986,,,7.74e-05,1.3626
9225,3.313020,0.371594,,,7.67e-05,1.6269
9250,3.110296,0.400300,,,7.60e-05,1.4055
9275,3.903695,0.318027,,,7.54e-05,1.4761
9300,3.459703,0.353239,,,7.47e-05,1.2990
9325,3.634657,0.328502,,,7.40e-05,1.6598
9350,3.055191,0.412113,,,7.34e-05,1.5458
9375,3.463594,0.377745,,,7.27e-05,1.4660
9400,3.491241,0.337835,,,7.21e-05,1.7881
9425,3.793388,0.312634,,,7.15e-05,1.6888
9450,3.418528,0.357338,,,7.08e-05,1.6456
9475,3.201868,0.385398,,,7.02e-05,1.4956
9500,3.311437,0.372577,3.233619,0.389105,6.96e-05,1.5357
9525,3.526173,0.342454,,,6.89e-05,1.4673
9550,3.286888,0.383697,,,6.83e-05,1.3509
9575,3.614063,0.331620,,,6.77e-05,1.4003
9600,3.500096,0.345845,,,6.71e-05,1.6382
9625,3.395782,0.371839,,,6.65e-05,1.5503
9650,2.901950,0.426455,,,6.59e-05,1.5454
9675,3.621571,0.342520,,,6.53e-05,1.5745
9700,3.167799,0.390954,,,6.47e-05,1.3911
9725,3.242963,0.391866,,,6.41e-05,1.4654
9750,3.789928,0.300611,,,6.35e-05,1.3879
9775,3.203659,0.391366,,,6.29e-05,1.4005
9800,3.229071,0.394590,,,6.24e-05,1.3497
9825,3.648970,0.327267,,,6.18e-05,1.5681
9850,3.412453,0.359870,,,6.12e-05,1.4426
9875,3.256167,0.379096,,,6.07e-05,1.4196
9900,3.366925,0.364742,,,6.01e-05,1.5136
9925,3.557451,0.340529,,,5.96e-05,1.2921
9950,3.578040,0.333287,,,5.90e-05,1.4959
9975,3.114137,0.401415,,,5.85e-05,1.6503
10000,3.152825,0.392893,3.229489,0.390735,5.79e-05,1.5490
10025,3.493546,0.355503,,,5.74e-05,1.5781
10050,3.228745,0.388391,,,5.69e-05,1.7003
10075,3.250114,0.385211,,,5.63e-05,1.5570
10100,3.624023,0.343163,,,5.58e-05,1.7326
10125,3.514184,0.356128,,,5.53e-05,1.4967
10150,3.169725,0.390849,,,5.48e-05,1.4130
10175,3.347852,0.381543,,,5.43e-05,1.6665
10200,3.701861,0.325288,,,5.38e-05,1.5454
10225,3.248869,0.389660,,,5.33e-05,1.5950
10250,3.543376,0.352411,,,5.28e-05,1.7026
10275,2.923741,0.426695,,,5.23e-05,1.4988
10300,3.528965,0.349010,,,5.18e-05,1.5790
10325,3.522667,0.345670,,,5.13e-05,1.3193
10350,3.640647,0.327714,,,5.08e-05,1.5077
10375,3.154587,0.387742,,,5.04e-05,1.4286
10400,2.986439,0.432701,,,4.99e-05,1.5452
10425,3.459803,0.349623,,,4.95e-05,1.4848
10450,3.490198,0.363580,,,4.90e-05,1.6577
10475,3.462131,0.354212,,,4.85e-05,1.7428
10500,3.521923,0.356734,3.236364,0.390714,4.81e-05,1.5494
10525,3.389328,0.373913,,,4.77e-05,1.3575
10550,3.404702,0.363895,,,4.72e-05,1.3683
10575,3.477111,0.358784,,,4.68e-05,1.5656
10600,3.553511,0.352292,,,4.64e-05,1.6372
10625,3.146278,0.400612,,,4.60e-05,1.6230
10650,3.316985,0.374368,,,4.55e-05,1.9592
10675,3.428698,0.360249,,,4.51e-05,1.5639
10700,3.403123,0.362167,,,4.47e-05,1.4838
10725,3.498055,0.347845,,,4.43e-05,1.5313
10750,3.664922,0.323083,,,4.39e-05,1.4956
10775,3.522246,0.343088,,,4.35e-05,1.4095
10800,3.096997,0.405131,,,4.32e-05,1.6688
10825,3.166647,0.406325,,,4.28e-05,1.5654
10850,3.406593,0.362188,,,4.24e-05,1.6466
10875,3.620277,0.339619,,,4.20e-05,1.5128
10900,3.037575,0.412258,,,4.17e-05,1.6698
10925,3.052257,0.405495,,,4.13e-05,1.6346
10950,3.243509,0.396948,,,4.10e-05,1.5182
10975,3.577435,0.341544,,,4.06e-05,1.6214
11000,3.227581,0.370273,3.237717,0.389803,4.03e-05,1.4966
11025,3.385451,0.355813,,,4.00e-05,1.4770
11050,3.453180,0.361387,,,3.96e-05,1.8119
11075,2.982397,0.418748,,,3.93e-05,1.7023
11100,3.544670,0.333057,,,3.90e-05,1.3902
11125,3.548829,0.341105,,,3.87e-05,1.5608
11150,3.012027,0.425032,,,3.84e-05,1.4916
11175,3.271895,0.385355,,,3.81e-05,1.4257
11200,3.435229,0.357344,,,3.78e-05,1.4289
11225,3.360552,0.376140,,,3.75e-05,1.8010
11250,3.477958,0.360756,,,3.72e-05,1.6859
11275,3.593426,0.339887,,,3.69e-05,1.3605
11300,3.119463,0.406777,,,3.66e-05,1.7908
11325,3.474928,0.360586,,,3.63e-05,1.5852
11350,3.279327,0.383834,,,3.61e-05,1.5092
11375,3.131823,0.398400,,,3.58e-05,1.5622
11400,3.362886,0.378320,,,3.56e-05,1.6798
11425,3.099905,0.414217,,,3.53e-05,1.6873
11450,3.064631,0.412980,,,3.51e-05,1.3606
11475,3.512700,0.355495,,,3.48e-05,1.5171
11500,2.945068,0.419984,3.178035,0.399066,3.46e-05,1.6954
11525,3.364493,0.363286,,,3.44e-05,1.3939
11550,3.182311,0.384569,,,3.42e-05,1.5539
11575,3.456473,0.368667,,,3.39e-05,1.5994
11600,3.131744,0.405256,,,3.37e-05,1.4694
11625,3.195896,0.389954,,,3.35e-05,1.7351
11650,3.194281,0.392326,,,3.33e-05,1.7263
11675,3.297802,0.374678,,,3.31e-05,1.4709
11700,3.218279,0.386717,,,3.30e-05,1.8378
11725,3.075284,0.425476,,,3.28e-05,1.7346
11750,3.300922,0.374562,,,3.26e-05,1.6450
11775,3.606158,0.330814,,,3.24e-05,1.5309
11800,3.286853,0.385901,,,3.23e-05,1.5125
11825,3.220501,0.381344,,,3.21e-05,1.4882
11850,3.079830,0.416276,,,3.20e-05,1.6800
11875,3.417224,0.350640,,,3.18e-05,1.6919
11900,3.590500,0.337362,,,3.17e-05,1.4495
11925,3.141700,0.401126,,,3.15e-05,1.3851
11950,3.683887,0.338378,,,3.14e-05,1.5842
11975,3.191885,0.400207,,,3.13e-05,1.5598
12000,3.582168,0.341865,3.200806,0.394538,3.12e-05,1.4986
12025,3.324718,0.381396,,,3.10e-05,1.4720
12050,3.311888,0.385971,,,3.09e-05,1.5721
12075,3.227642,0.376652,,,3.08e-05,1.6404
12100,3.508975,0.351174,,,3.07e-05,1.4111
12125,3.754185,0.311948,,,3.07e-05,1.5463
12150,3.463525,0.346051,,,3.06e-05,1.5799
12175,3.485200,0.357758,,,3.05e-05,1.5363
12200,3.423291,0.361773,,,3.04e-05,1.6876
12225,2.810545,0.446529,,,3.04e-05,1.6469
12250,3.799987,0.309401,,,3.03e-05,1.3240
12275,3.543144,0.345661,,,3.02e-05,1.5861
12300,3.309711,0.388695,,,3.02e-05,1.5487
12325,3.323536,0.381583,,,3.01e-05,1.5234
12350,3.250444,0.386151,,,3.01e-05,1.5551
12375,3.160857,0.399845,,,3.01e-05,1.6597
12400,3.607005,0.331776,,,3.00e-05,1.5015
12425,3.268486,0.388719,,,3.00e-05,1.4522
12450,3.061967,0.420749,,,3.00e-05,1.7957
12475,3.301473,0.384338,,,3.00e-05,1.4770
12500,3.103173,0.400776,3.242578,0.391108,3.00e-05,1.7479
